"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"DS1","LED0603_-_Single","1540mil","1943mil","1540mil","1943mil","1540mil","1976mil","T","270.00","PowerInd"
"J2","PCC-SMP_K_Thermocouple","1866.378mil","960.795mil","1866.378mil","1226.543mil","1596.693mil","1226.543mil","T","0.00","Thermocouple B"
"J1","PCC-SMP_K_Thermocouple","1039.606mil","960.795mil","1039.606mil","1226.543mil","769.921mil","1226.543mil","T","0.00","Thermocouple A"
"J4","Audio_Jack_2.5mm_Mono","325.827mil","794.496mil","440mil","763mil","349.449mil","664.575mil","T","270.00","Thermistor B"
"J3","Audio_Jack_2.5mm_Mono","325.827mil","1184.496mil","440mil","1153mil","349.449mil","1054.575mil","T","270.00","Thermistor A"
"U2","SOIC8","1910mil","1550.008mil","1910mil","1550.008mil","1835mil","1457.488mil","T","90.00","OPAMP dual"
"U1","SOIC8","987.793mil","1550.011mil","987.793mil","1550.011mil","912.793mil","1457.491mil","T","90.00","OPAMP dual"
"TB2","Terminal_Block_3.5mm_x_12","2100mil","2667.173mil","2100mil","1803mil","2100mil","1909.299mil","T","90.00","SparkIO Terminal Block 2"
"TB1","Terminal_Block_3.5mm_x_12","170mil","2638.827mil","170mil","3503mil","170mil","3396.701mil","T","270.00","SparkIO Terminal Block 1"
"U3","SOT23-3L","1430mil","1553mil","1430mil","1553mil","1467.402mil","1596.307mil","T","270.00","Header 3"
"R19","0603_-_NO_SILK","1540mil","2093mil","1540mil","2093mil","1540mil","2126mil","T","270.00","Resistor"
"R18","0603_-_NO_SILK","1990mil","1373mil","1990mil","1373mil","2023mil","1373mil","T","180.00","Resistor"
"R17","0603_-_NO_SILK","556.926mil","1436.777mil","556.926mil","1436.777mil","523.926mil","1436.777mil","T","360.00","Resistor"
"R4","0603_-_NO_SILK","556.929mil","1629.675mil","556.929mil","1629.675mil","523.929mil","1629.675mil","T","360.00","Resistor"
"R15","0603_-_NO_SILK","1990mil","1733mil","1990mil","1733mil","2023mil","1733mil","T","180.00","Resistor"
"R14","0603_-_NO_SILK","2170mil","1473mil","2170mil","1473mil","2170mil","1506mil","T","270.00","Resistor"
"R9","0603_-_NO_SILK","1750mil","1473mil","1750mil","1473mil","1750mil","1506mil","T","270.00","Resistor"
"R12","0603_-_NO_SILK","1590mil","1473mil","1590mil","1473mil","1590mil","1506mil","T","270.00","Resistor"
"R11","0603_-_NO_SILK","2170mil","1633mil","2170mil","1633mil","2170mil","1600mil","T","90.00","Resistor"
"R10","0603_-_NO_SILK","1850mil","1733mil","1850mil","1733mil","1817mil","1733mil","T","360.00","Resistor"
"R13","0603_-_NO_SILK","1850mil","1373mil","1850mil","1373mil","1817mil","1373mil","T","360.00","Resistor"
"R8","0603_-_NO_SILK","1074.25mil","1373.003mil","1074.25mil","1373.003mil","1107.25mil","1373.003mil","T","180.00","Resistor"
"R7","0603_-_NO_SILK","1074.25mil","1733.003mil","1074.25mil","1733.003mil","1107.25mil","1733.003mil","T","180.00","Resistor"
"R6","0603_-_NO_SILK","1254.25mil","1473.003mil","1254.25mil","1473.003mil","1254.25mil","1506.003mil","T","270.00","Resistor"
"R5","0603_-_NO_SILK","834.25mil","1473.003mil","834.25mil","1473.003mil","834.25mil","1506.003mil","T","270.00","Resistor"
"R16","0603_-_NO_SILK","674.25mil","1473.003mil","674.25mil","1473.003mil","674.25mil","1506.003mil","T","270.00","Resistor"
"R3","0603_-_NO_SILK","1254.25mil","1633.003mil","1254.25mil","1633.003mil","1254.25mil","1600.003mil","T","90.00","Resistor"
"R2","0603_-_NO_SILK","934.25mil","1733.003mil","934.25mil","1733.003mil","901.25mil","1733.003mil","T","360.00","Resistor"
"R1","0603_-_NO_SILK","934.25mil","1373.003mil","934.25mil","1373.003mil","901.25mil","1373.003mil","T","360.00","Resistor"
"H2","HDR1X12","1440mil","2803mil","1440mil","3353mil","1440mil","3353mil","T","270.00","SparkIO Header 2"
"H1","HDR1X12","740mil","2803mil","740mil","3353mil","740mil","3353mil","T","270.00","SparkIO Header 1"
"C13","0603_-_NO_SILK","1015mil","3103mil","1015mil","3103mil","1015mil","3136mil","T","270.00","Capacitor"
"C12","0603_-_NO_SILK","1215mil","3103mil","1215mil","3103mil","1215mil","3136mil","T","270.00","Capacitor"
"C11","0603_-_NO_SILK","556.926mil","1516.777mil","556.926mil","1516.777mil","523.926mil","1516.777mil","T","360.00","Capacitor"
"C10","0603_-_NO_SILK","556.929mil","1709.675mil","556.929mil","1709.675mil","523.929mil","1709.675mil","T","360.00","Capacitor"
