Field=Designator~String~Designator~187|Field=Manufacturer~String~Manufacturer~137|Field=Manufacturer Part Number~String~Manufacturer Part Number~164|Field=Name~String~Name~87|Field=Fitted/Not Fitted~String~Fitted/Not Fitted~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SparkIO Thermal Shield.PrjPCB|ReportField=ProjectFullPath~C:\Users\Jim Griazbacher\Documents\GitHub\probe\SparkIO Thermal Shield\SparkIO Thermal Shield.PrjPCB|ReportField=Title~Bill of Materials - Solo For Variant [Prototype] of Schematic Document [SparkIO Thermal Shield - No Aux ADC.SchDoc]|ReportField=TotalQuantity~44|ReportField=ReportTime~6:25:53 PM|ReportField=ReportDate~8/3/2014|ReportField=ReportDateTime~8/3/2014 6:25:53 PM|ReportField=OutputName~Bill of Materials - Solo|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Prototype|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~8/3/2014|ReportField=CurrentTime~6:25:50 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Jim Griazbacher\Documents\GitHub\probe\SparkIO Thermal Shield\SparkIO Thermal Shield - No Aux ADC.SchDoc|ReportField=DocumentName~SparkIO Thermal Shield - No Aux ADC.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Jim Griszbacher|ReportField=Engineer~Jim Griszbacher|ReportField=ImagePath~|ReportField=ModifiedDate~8/3/2014|ReportField=Organization~|ReportField=ProjectName~SparkIO Thermal Shield.PrjPCB|ReportField=Revision~A|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~SparkIO Thermal Shield - Analog|ReportField=DataSourceFileName~SparkIO Thermal Shield - No Aux ADC.SchDoc|ReportField=DataSourceFullPath~C:\Users\Jim Griazbacher\Documents\GitHub\probe\SparkIO Thermal Shield\SparkIO Thermal Shield - No Aux ADC.SchDoc
C1, C2, C3, C4, C5, C6|TDK Corporation|C1608X7R1E103K080AA|CAP CER 10000PF 25V 10% X7R 0603|Fitted|6|Digi-Key|445-5100-1-ND
C7, C8, C9, C10, C11, C12, C13|TDK Corporation|C1608X7R1C105K080AC|CAP CER 1UF 16V 10% X7R 0603|Fitted|7|Digi-Key|445-1604-1-ND
DS1|LiteOn|LTST-C190KGKT|Green LED 20mA 2V Vf|Fitted|1|Digi-Key|160-1435-1-ND
H1, H2|Sullins Interconnect|PPTC121LFBN-RC|CONN HEADER FEM 12POS .1" SGL TIN|Fitted|2|Digi-Key|S6100-ND
J1, J2|Omega|PCC-SMP-K|K Type Thermocouple Mini Horizontal TH Connector|Fitted|2|Newark|01H0905
J3, J4|CUI Inc|MJ-2509N|3/32" Mono Audio Jack Right Angle TH|Fitted|2|Digi-Key|CP-M2509N-ND
R1, R8, R13, R18|Vishay|CRCW0603100KFKEA|RES 100K OHM 1/10W 1% 0603 SMD|Fitted|4|Digi-Key|541-100KHCT-ND
R2, R7, R10, R15|Vishay|CRCW060322K0FKEA|RES 22.0K OHM 1/10W 1% 0603 SMD|Fitted|4|Digi-Key|541-22.0KHCT-ND
R3, R5, R9, R11, R19|Vishay|CRCW06031K00FKEA|RES 1.00K OHM 1/10W 1% 0603 SMD|Fitted|5|Digi-Key|541-1.00KHCT-ND
R4, R6, R12, R14, R16, R17|Vishay|CRCW060310K0FKEA|RES 10.0K OHM 1/10W 1% 0603 SMD|Fitted|6|Digi-Key|541-10.0KHCT-ND
TB1, TB2|On Shore Technology|OSTTE120104|TERMINAL BLOCK 3.5MM 12POS PCB|Fitted|2|Digi-Key|ED2737-ND
U1, U2|Texas Instruments|OPA2376AIDR|IC Op Amp Dual GBP 5.5MHz 8SOIC|Fitted|2|Digi-Key|296-22564-1-ND
U3|Microchip|TC1046VNBTR|Precision Temperature Sensing IC|Fitted|1|Digi-Key|TC1046VNBTRCT-ND
